ABF.L
ADM.L
AHT.L
ANTO.L
AUTO.L
AV.L
AZN.L
BA.L
BARC.L
BATS.L
BDEV.L
BHP.L
BKG.L
BLND.L
BNZL.L
BP.L
BRBY.L
BT-A.L
CCH.L
CCL.L
CNA.L
CPG.L
CRDA.L
CRH.L
DCC.L
DGE.L
DLG.L
EVR.L
EXPN.L
EZJ.L
FERG.L
FRES.L
GLEN.L
GSK.L
GVC.L
HIK.L
HL.L
HLMA.L
HSBA.L
HSX.L
IAG.L
IHG.L
III.L
IMB.L
INF.L
ITRK.L
ITV.L
JMAT.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSE.L
MCRO.L
MKS.L
MNDI.L
MRO.L
MRW.L
NG.L
NMC.L
NXT.L
OCDO.L
PPB.L
PRU.L
PSN.L
PSON.L
RB.L
RBS.L
RDSA.L
REL.L
RIO.L
RMV.L
RR.L
RSA.L
RTO.L
SBRY.L
SDR.L
SGE.L
SGRO.L
SKG.L
SLA.L
SMDS.L
SMIN.L
SMT.L
SN.L
SPX.L
SSE.L
STAN.L
STJ.L
SVT.L
TSCO.L
TUI.L
TW.L
ULVR.L
UU.L
VOD.L
WG.L
WPP.L
WTB.L
