Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
FGBS201903,Eurex,,DUH9 Comdty,"290,633.00"
IT0005279143,MTA,GIMA,GIMA IM Equity,"282,968.40"
FR0010405431,ETF,GRC,GRC IM Equity,"278,093.20"
JE00B8DVWK97,ETF,IT3L,IT3L IM Equity,"259,670.10"
IT0003188064,MTA,IF,IF IM Equity,"257,322.70"
IT0005090300,MTA,INW,INW IM Equity,"256,875.80"
JE00B2NFTD12,ETF,LCFE,LCFE IM Equity,"254,099.80"
IE00B873CW36,ETF,3ITS,3ITS IM Equity,"245,416.20"
IT0003201198,MTA,SIS,SIS IM Equity,"239,349.60"
FR0010424143,ETF,BXX,BXX IM Equity,"224,028.60"
JE00BYQY8G54,ETF,3CRL,3CRL IM Equity,"199,966.90"
JE00B984KF15,ETF,GE3S,GE3S IM Equity,"195,925.90"
LU1391376552,SDX,SNDX7S,JK721779@EXCH Corp,"193,102.93"
IT0001078911,MTA,IP,IP IM Equity,"192,121.20"
LU1650492173,ETF,FTS100,FTS100 IM Equity,"184,704.20"
IT0001479374,MTA,LUX,LUX IM Equity,"172,796.90"
IT0005322612,MTA,IGD,IGD IM Equity,"172,428.10"
IT0004764699,MTA,BC,BC IM Equity,"160,724.90"
IT0001157020,MTA,ERG,ERG IM Equity,"158,550.20"
IE00B7SX5Y86,ETF,3OIS,3OIS IM Equity,"156,736.90"
IT0003826473,MTA,PLT,PLT IM Equity,"155,489.20"
IT0003153621,MTA,TIP,TIP IM Equity,"153,908.60"
FR0007054358,ETF,MSE,MSE IM Equity,"153,562.30"
DE000VN9AAB6,SDX,FDAX7S,LW218626@SEDX Corp,"152,519.13"
DE000VN9AAL5,SDX,FMIB5L,LW351153@SEDX Corp,"144,511.27"
DE000VN9AB10,SDX,FNG17S,LW535137@SEDX Corp,"141,400.00"
IT0000084027,MTA,AT,AT IM Equity,"135,008.60"
IT0003121677,MTA,CE,CE IM Equity,"134,925.50"
DE000SG5XGH4,SDX,SDAX7L,AC868210@SEDX Corp,"134,045.40"
LU0779800910,ETF,XCHA,XCHA IM Equity,"133,452.50"
IE00B8JF9153,ETF,3EUS,3EUS IM Equity,"132,966.30"
DE000VN9ABV2,SDX,FSX77L,LW525511@SEDX Corp,"132,175.93"
IE00B441G979,ETF,IWDE,IWDE IM Equity,"130,759.50"
FOAT201903,Eurex,,OATH9 Comdty,"130,262.50"
JE00BYQY8219,ETF,3CRS,3CRS IM Equity,"122,594.90"
IE00B1XNH568,ETF,IMIB,IMIB IM Equity,"122,467.80"
